sample	sub	Genetic_load_sum	n_chr_rows	group	Abs_genetic_load
[384]953:GT	improved	-66138.65145	10	improved	66138.65145
[385]96201:GT	improved	-78590.552634	10	improved	78590.552634
[386]9702:GT	improved	-76272.143904	10	improved	76272.143904
[387]9706:GT	improved	-79805.771351	10	improved	79805.771351
[388]9710:GT	improved	-63824.24351	10	improved	63824.24351
[389]98F1:GT	improved	-26023.655259	10	improved	26023.655259
[390]99122:GT	improved	-74952.165489	10	improved	74952.165489
[391]A272:GT	improved	-78685.704168	10	improved	78685.704168
[392]A554:GT	improved	-75125.422188	10	improved	75125.422188
[393]A619:GT	improved	-68769.173319	10	improved	68769.173319
[394]A632:GT	improved	-62044.058051	10	improved	62044.058051
[395]A679:GT	improved	-17299.307617	10	improved	17299.307617
[396]A801:GT	improved	-64454.107304	10	improved	64454.107304
[397]Ay3566:GT	improved	-61477.097513	10	improved	61477.097513
[398]Ay420:GT	improved	-73451.404275	10	improved	73451.404275
[399]B09:GT	improved	-60890.911317	10	improved	60890.911317
[400]B100:GT	improved	-76560.529352	10	improved	76560.529352
[401]B102:GT	improved	-77885.938053	10	improved	77885.938053
[402]B12:GT	improved	-79116.5958	10	improved	79116.5958
[403]B14:GT	improved	-53336.300776	10	improved	53336.300776
[404]B37:GT	improved	-65997.459071	10	improved	65997.459071
[405]B394:GT	improved	-79429.58357	10	improved	79429.58357
[406]B4:GT	improved	-75032.751751	10	improved	75032.751751
[407]B47:GT	improved	-66726.556018	10	improved	66726.556018
[408]B68:GT	improved	-61461.605706	10	improved	61461.605706
[409]B7:GT	improved	-70995.387042	10	improved	70995.387042
[410]B73:GT	improved	-2094.945307	10	improved	2094.945307
[411]B76:GT	improved	-66780.246438	10	improved	66780.246438
[412]B8:GT	improved	-77169.420855	10	improved	77169.420855
[413]B95:GT	improved	-75145.914795	10	improved	75145.914795
[414]B97:GT	improved	-74524.644043	10	improved	74524.644043
[415]B98:GT	improved	-73352.723698	10	improved	73352.723698
[416]bai197:GT	improved	-87089.408798	10	improved	87089.408798
[417]baihe43:GT	improved	-77831.496431	10	improved	77831.496431
[418]baiU8112:GT	improved	-73387.070418	10	improved	73387.070418
[419]bao3040:GT	improved	-73158.816707	10	improved	73158.816707
[420]BC4B:GT	improved	-53870.04444	10	improved	53870.04444
[421]BCC03:GT	improved	-77605.660018	10	improved	77605.660018
