sample	cutoff	miss	Genetic_load	N_del
PI659753_PI659753	25%	miss50	-1576018.2586077	177597
PI152651_PI152651	10%	miss50	-675065.7834508	56992
PI17548_PI17548	10%	miss50	-674212.54278	56406
PI24969_PI24969	10%	miss50	-887648.8713131	74571
PI276837_PI276837	10%	miss50	-820105.8321964	69003
PI329435_PI329435	10%	miss50	-572301.6486047	48807
PI329440_PI329440	10%	miss50	-751018.574585799	62001
PI34911_PI34911	10%	miss50	-698627.5097702	57712
PI35038_PI35038	10%	miss50	-612671.9513766	50704
PI48770_PI48770	10%	miss50	-609485.4069168	63064
PI533750_PI533750	10%	miss50	-662755.3958769	55549
PI533752_PI533752	10%	miss50	-658178.1442918	54173
PI533754_PI533754	10%	miss50	-608125.9756864	53042
PI533755_PI533755	10%	miss50	-699103.1578464	60887
PI533757_PI533757	10%	miss50	-543112.7848463	44951
PI533758_PI533758	10%	miss50	-520975.3891296	42945
PI533759_PI533759	10%	miss50	-573758.8171168	46965
PI533760_PI533760	10%	miss50	-623568.3761025	51608
PI533761_PI533761	10%	miss50	-533920.392419	43752
PI533762_PI533762	10%	miss50	-618181.7387643	69973
PI533766_PI533766	10%	miss50	-563633.3291301	47242
PI533769_PI533769	10%	miss50	-470398.3491046	39199
PI533776_PI533776	10%	miss50	-623437.1267731	52707
PI533785_PI533785	10%	miss50	-586887.3571723	50022
PI533788_PI533788	10%	miss50	-755774.4567457	63434
PI533789_PI533789	10%	miss50	-571458.6601758	47425
PI533792_PI533792	10%	miss50	-733390.192951	61176
PI533794_PI533794	10%	miss50	-644806.7905483	53258
PI533799_PI533799	10%	miss50	-643334.3150556	53190
PI533800_PI533800	10%	miss50	-639324.8357042	53363
PI533807_PI533807	10%	miss50	-535823.6504741	44858
PI533810_PI533810	10%	miss50	-705451.1699614	59208
PI533814_PI533814	10%	miss50	-702333.3803738	59185
PI533821_PI533821	10%	miss50	-483784.3675114	39669
PI533822_PI533822	10%	miss50	-611282.6781911	50905
PI533824_PI533824	10%	miss50	-554228.4222312	46527
PI533830_PI533830	10%	miss50	-680140.0050965	81388
PI533831_PI533831	10%	miss50	-591385.0666873	49678
PI533833_PI533833	10%	miss50	-458364.0433005	37891
PI533838_PI533838	10%	miss50	-570287.8498308	48220
PI533839_PI533839	10%	miss50	-261018.137449	22743
PI533841_PI533841	10%	miss50	-683759.0846819	56962
PI533842_PI533842	10%	miss50	-616749.6912565	51925
PI533843_PI533843	10%	miss50	-613535.8777085	51276
PI533845_PI533845	10%	miss50	-671027.0207926	56476
PI533852_PI533852	10%	miss50	-609539.612039	53001
PI533855_PI533855	10%	miss50	-566430.681775	64140
PI533856_PI533856	10%	miss50	-744953.8217484	68059
PI533863_PI533863	10%	miss50	-594105.2685449	53566
PI533866_PI533866	10%	miss50	-645947.1574234	53699
PI533869_PI533869	10%	miss50	-568424.9718779	47326
PI533871_PI533871	10%	miss50	-564764.4095988	46906
PI533876_PI533876	10%	miss50	-573600.0323356	75570
PI533877_PI533877	10%	miss50	-593123.5771671	60060
PI533878_PI533878	10%	miss50	-593764.9297302	51213
PI533882_PI533882	10%	miss50	-555177.5289578	46459
PI533901_PI533901	10%	miss50	-621185.2221633	51544
PI533902_PI533902	10%	miss50	-642844.0135242	60876
PI533903_PI533903	10%	miss50	-455216.4498973	38671
PI533910_PI533910	10%	miss50	-543260.6219474	45759
PI533911_PI533911	10%	miss50	-749917.1428881	63814
PI533912_PI533912	10%	miss50	-500842.2291457	41978
PI533913_PI533913	10%	miss50	-548548.4690835	45861
PI533915_PI533915	10%	miss50	-657140.2252213	54065
PI533919_PI533919	10%	miss50	-566302.7407109	48468
PI533921_PI533921	10%	miss50	-862949.8468135	73255
PI533924_PI533924	10%	miss50	-587787.0171909	49381
PI533927_PI533927	10%	miss50	-607953.084021201	51174
